Country,Year,FSI_Category,C1_Security_Apparatus_Disc,C2_Factionalized_Elites_Disc,C3_Group_Grievance_Disc,E1_Economy_Disc,E2_Economic_Inequality_Disc,E3_Human_Flight_and_Brain_Drain_Disc,P1_State_Legitimacy_Disc,P2_Public_Services_Disc,P3_Human_Rights_Disc,S1_Demographic_Pressures_Disc,S2_Refugees_and_IDPs_Disc,X1_External_Intervention_Disc,GDP_Category,Internet_Category,Life_Expectancy_Category,Military_Expenditure_Category
Senegal,2021,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,Medium
Serbia,2019,Stable,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Low,Low,High,Medium,Low,High,High,Medium
Serbia,2020,Stable,Low,High,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Medium,Medium,Low,High,Medium,Medium
Serbia,2021,Stable,Low,High,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Medium,Medium,Low,High,Medium,Medium
Seychelles,2019,Stable,Medium,Medium,Low,Low,Medium,Medium,Low,Low,Low,Low,Low,Medium,Medium,High,Medium,Low
Seychelles,2020,Stable,Medium,Medium,Low,Low,Medium,Medium,Low,Low,Low,Low,Low,Medium,Medium,High,High,Low
Seychelles,2021,Stable,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,Low,Low,Low,Medium,Medium,High,Medium,Medium
Sierra Leone,2019,Warning,Low,Medium,Medium,High,High,High,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,Low
Sierra Leone,2020,Warning,Low,Medium,Medium,High,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,Low
Sierra Leone,2021,Warning,Low,Medium,Medium,High,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Singapore,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
Singapore,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
Singapore,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
Slovak Republic,2019,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Medium,Medium
Slovak Republic,2020,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,Medium,Medium
Slovakia,2021,Sustainable,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,Medium,Medium
Slovenia,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Low
Slovenia,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Low
Slovenia,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Low
Solomon Islands,2019,Warning,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Low,High,Low,Low,Medium,Medium
Solomon Islands,2020,Warning,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Low,High,Low,Low,Medium,Medium
Solomon Islands,2021,Warning,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Low,High,Low,Low,Medium,Medium
Somalia,2019,Very High Alert,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low
Somalia,2020,Very High Alert,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low
Somalia,2021,Very High Alert,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low
South Africa,2019,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Low,Low,High,Medium,Low
South Africa,2020,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Low,Low,High,Medium,Low
South Africa,2021,Warning,Medium,Medium,Medium,High,Medium,Low,Medium,Medium,Low,Medium,Low,Low,Low,High,Medium,Low
South Korea,2019,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,High,Medium
South Korea,2020,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
South Korea,2021,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
South Sudan,2019,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Low,High
South Sudan,2020,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Low,Medium
South Sudan,2021,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Low,Medium
Spain,2019,Sustainable,Low,Medium,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,High,High,Low
Spain,2020,Sustainable,Low,Medium,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,High,High,Low
Spain,2021,Sustainable,Low,Medium,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,High,High,High,Low
Sri Lanka,2019,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Low,Low,High,Medium
Sri Lanka,2020,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Low,Medium,High,Medium
Sri Lanka,2021,Warning,Medium,High,High,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Low,Medium,High,Medium
Sudan,2019,Very High Alert,High,High,High,High,Medium,High,High,High,High,High,High,High,Low,High,Medium,Medium
Sudan,2020,Very High Alert,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Medium,Low
Sudan,2021,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,High,Medium,Low
Suriname,2019,Stable,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,Medium
Suriname,2020,Stable,Low,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Medium,Low,Medium,Medium,Medium
Suriname,2021,Stable,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,Medium
Sweden,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Sweden,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Sweden,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Switzerland,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Switzerland,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Switzerland,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Syria,2019,Very High Alert,High,High,High,High,Medium,High,High,High,High,Medium,High,High,Low,High,Medium,Medium
Syria,2020,Very High Alert,High,High,High,High,Medium,High,High,High,High,Medium,High,High,Low,High,Medium,Medium
Syria,2021,Very High Alert,High,High,High,High,Medium,High,High,High,High,Medium,High,High,Low,High,Medium,Medium
Tajikistan,2019,Warning,Medium,High,Medium,Medium,Low,Medium,High,Medium,High,Medium,Low,Medium,Low,Low,Medium,Low
Tajikistan,2020,Warning,Medium,High,Medium,Medium,Low,Medium,High,Low,High,Medium,Low,Medium,Low,Low,Medium,Low
Tajikistan,2021,Warning,Medium,High,Medium,Medium,Low,Medium,High,Low,High,Medium,Low,Low,Low,Medium,Medium,Low
Tanzania,2019,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Tanzania,2020,Warning,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Tanzania,2021,Warning,Medium,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Thailand,2019,Warning,High,High,Medium,Low,Low,Low,Medium,Low,High,Medium,Medium,Low,Low,Medium,High,Low
Thailand,2020,Warning,High,High,Medium,Low,Low,Low,Medium,Low,Medium,Medium,Medium,Low,Low,High,High,Low
Thailand,2021,Warning,High,High,Medium,Low,Low,Low,Medium,Low,Medium,Medium,Medium,Low,Low,High,High,Low
Timor-Leste,2019,Warning,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,High,Low,Low,Medium,Medium
Timor-Leste,2020,Warning,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,High,Low,Low,Medium,Medium
Timor-Leste,2021,Warning,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,High,Low,Medium,Medium,Low
Togo,2019,Warning,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium
Togo,2020,Warning,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium
Togo,2021,Warning,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium
Trinidad and Tobago,2019,Stable,Medium,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,High,Medium,Low
Trinidad and Tobago,2020,Stable,Medium,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,High,Medium,Low
Trinidad and Tobago,2021,Stable,Medium,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Medium,High,Medium,Low
Tunisia,2019,Warning,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low,Medium,Low,Medium,High,Medium
Tunisia,2020,Stable,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low,Medium,Low,High,High,Medium
Tunisia,2021,Stable,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Low,Low,Medium,Low,High,Medium,Medium
Turkey,2019,Warning,Medium,High,High,Low,Medium,Low,Medium,Low,High,Low,High,Medium,Low,High,High,Medium
Turkey,2020,Warning,Medium,High,High,Low,Medium,Low,Medium,Low,High,Low,High,Medium,Low,High,High,Medium
Turkey,2021,Warning,Medium,High,High,Medium,Low,Low,Medium,Medium,High,Medium,High,Medium,Low,High,High,Medium
Turkmenistan,2019,Warning,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,Low,Low,High,Medium,Medium
Turkmenistan,2020,Stable,Medium,Medium,Medium,Medium,Medium,Low,High,Low,High,Low,Low,Low,Low,High,Medium,Medium
Turkmenistan,2021,Stable,Medium,Medium,Medium,Low,Medium,Low,High,Low,High,Medium,Low,Low,Low,High,Medium,Medium
Uganda,2019,Alert,Medium,High,High,Medium,Medium,Medium,High,Medium,High,High,High,Medium,Low,Low,Medium,Medium
Uganda,2020,Alert,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,High,High,Medium,Low,Low,Medium,Medium
Uganda,2021,Alert,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,High,High,Medium,Low,Low,Medium,Medium
Ukraine,2019,Warning,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low,High,Low,High,Medium,High
Ukraine,2020,Stable,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low,High,Low,High,Medium,High
Ukraine,2021,Stable,Medium,High,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low,Medium,Low,High,Medium,Medium
United Arab Emirates,2019,Sustainable,Low,Low,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,High,High,High,Medium
United Arab Emirates,2020,Sustainable,Low,Low,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,High,High,High,Medium
United Arab Emirates,2021,Sustainable,Low,Low,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,High,High,High,Medium
United Kingdom,2019,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
United Kingdom,2020,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
United Kingdom,2021,Sustainable,Low,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
United States,2019,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
United States,2020,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,High
United States,2021,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Low,Low,High,High,High,Medium
Uruguay,2019,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Uruguay,2020,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Uruguay,2021,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Uzbekistan,2019,Warning,Medium,High,Medium,Medium,Medium,Medium,High,Low,Medium,Medium,Medium,Low,Low,High,Medium,Medium
Uzbekistan,2020,Warning,Medium,High,Medium,Medium,Medium,Medium,High,Low,Medium,Low,Low,Low,Low,High,Medium,Medium
Uzbekistan,2021,Warning,Medium,High,Medium,Medium,Medium,Medium,High,Low,Medium,Low,Low,Low,Low,High,Medium,Medium
Venezuela,2019,Warning,Medium,High,Medium,High,Medium,Medium,High,High,High,Medium,Medium,Medium,Low,Medium,Medium,Medium
Venezuela,2020,Alert,Medium,High,Medium,High,Medium,Medium,High,High,High,Medium,Medium,Medium,Low,High,Medium,Medium
Venezuela,2021,Alert,Medium,High,Medium,High,Medium,Medium,High,High,High,Medium,Medium,Medium,Low,High,Medium,Low
Vietnam,2019,Stable,Low,Medium,Medium,Low,Low,Medium,High,Low,Medium,Medium,Low,Low,Low,High,Medium,Medium
Vietnam,2020,Stable,Low,Medium,Medium,Low,Low,Medium,High,Low,Medium,Medium,Low,Low,Low,High,High,Medium
Vietnam,2021,Stable,Low,Medium,Medium,Low,Low,Medium,High,Low,Medium,Medium,Low,Low,Low,High,Medium,Medium
Yemen,2019,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Medium,Medium
Yemen,2020,Very High Alert,High,High,High,High,Medium,Medium,High,High,High,High,High,High,Low,Low,Medium,Medium
Yemen,2021,Very High Alert,High,High,High,High,Medium,Medium,High,High,High,High,High,High,Low,Low,Medium,Medium
Zambia,2019,Warning,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,Low,Low,Medium,Low
Zambia,2020,Warning,Low,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Low,Medium,Low
Zambia,2021,Warning,Low,Medium,Medium,High,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Low
Zimbabwe,2019,Alert,High,High,Medium,High,Medium,Medium,High,High,High,High,High,Medium,Low,Low,Medium,Low
Zimbabwe,2020,Alert,High,High,Medium,High,Medium,Medium,High,High,High,High,High,Medium,Low,Low,Medium,Low
Zimbabwe,2021,Alert,High,High,Medium,High,Medium,Medium,High,High,High,High,High,Medium,Low,Low,Medium,Medium
