Country,Year,FSI_Category,C1_Security_Apparatus_Disc,C2_Factionalized_Elites_Disc,C3_Group_Grievance_Disc,E1_Economy_Disc,E2_Economic_Inequality_Disc,E3_Human_Flight_and_Brain_Drain_Disc,P1_State_Legitimacy_Disc,P2_Public_Services_Disc,P3_Human_Rights_Disc,S1_Demographic_Pressures_Disc,S2_Refugees_and_IDPs_Disc,X1_External_Intervention_Disc,GDP_Category,Internet_Category,Life_Expectancy_Category,Military_Expenditure_Category
Botswana,2020,Stable,Low,Low,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Low,Low,Medium,Medium,Medium
Botswana,2021,Stable,Low,Low,Low,Medium,Medium,Low,Low,Medium,Low,Medium,Low,Low,Low,Medium,Medium,Medium
Brazil,2019,Warning,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Low,Low,Low,High,High,Low
Brazil,2020,Warning,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Low,Low,Low,High,Medium,Low
Brazil,2021,Warning,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,Low,Low,Low,High,Medium,Low
Brunei Darussalam,2019,Stable,Low,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Low,Low,High,High,High,Medium
Brunei Darussalam,2020,Stable,Low,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Low,Low,Medium,High,High,High
Brunei Darussalam,2021,Stable,Low,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Low,Low,High,High,Medium,Medium
Bulgaria,2019,Stable,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Bulgaria,2020,Sustainable,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,Medium,Medium
Bulgaria,2021,Stable,Low,Medium,Low,Medium,Low,Medium,Low,Low,Low,Medium,Low,Low,Medium,High,Medium,Medium
Burkina Faso,2019,Warning,High,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Medium
Burkina Faso,2020,Warning,High,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,High,Medium,High,Low,Low,Medium,Medium
Burkina Faso,2021,Warning,High,Medium,Low,Medium,Medium,Medium,Medium,High,Medium,High,Medium,High,Low,Low,Medium,Medium
Burundi,2019,Alert,High,Medium,Medium,High,Medium,Medium,High,High,High,High,High,High,Low,Low,Medium,Medium
Burundi,2020,Alert,High,Medium,Medium,High,Medium,Medium,High,Medium,High,High,High,High,Low,Low,Medium,Medium
Burundi,2021,Alert,High,High,Medium,High,Medium,Medium,High,Medium,High,High,High,High,Low,Low,Medium,Medium
Cambodia,2019,Warning,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium
Cambodia,2020,Warning,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium
Cambodia,2021,Warning,Medium,High,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium
Cameroon,2019,Alert,High,High,High,Medium,Medium,Medium,High,High,Medium,High,High,Medium,Low,Medium,Medium,Low
Cameroon,2020,Alert,High,High,High,Medium,Medium,Medium,High,High,Medium,High,High,Medium,Low,Medium,Medium,Low
Cameroon,2021,Alert,High,High,High,Medium,Medium,Medium,High,High,Medium,High,High,Medium,Low,Medium,Medium,Low
Canada,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Canada,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Canada,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Cape Verde,2019,Stable,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,High,Low,Medium,High,Low
Cape Verde,2020,Stable,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,High,Low,High,Medium,Low
Cape Verde,2021,Stable,Low,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,High,Low,High,Medium,Low
Central African Republic,2019,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Low,Medium
Central African Republic,2020,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Low,Medium
Central African Republic,2021,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Low,Medium
Chad,2019,Very High Alert,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Medium
Chad,2020,Very High Alert,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,Medium
Chad,2021,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,Medium,Low,Low,Low,Medium
Chile,2019,Sustainable,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Chile,2020,Sustainable,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,High,High,Medium
Chile,2021,Sustainable,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low,Low,Medium,High,High,Medium
China,2019,Warning,Medium,Medium,Medium,Low,Medium,Low,High,Medium,High,Medium,Low,Low,Medium,Medium,High,Medium
China,2020,Stable,Medium,Medium,Medium,Low,Medium,Low,High,Low,High,Medium,Low,Low,Medium,High,High,Medium
China,2021,Stable,Medium,Medium,Medium,Low,Medium,Low,High,Medium,High,Medium,Low,Low,Medium,High,High,Medium
Colombia,2019,Warning,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium
Colombia,2020,Warning,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,High
Colombia,2021,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,High,Medium,Medium
Comoros,2019,Warning,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium
Comoros,2020,Warning,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium
Comoros,2021,Warning,Medium,High,Low,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Medium,Medium
Congo Democratic Republic,2019,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Medium,Low
Congo Democratic Republic,2020,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Medium,Low
Congo Democratic Republic,2021,Very High Alert,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Medium,Low
Congo Republic,2019,Alert,Medium,Medium,Medium,Medium,High,Medium,High,High,High,High,Medium,Medium,Low,Low,Medium,Medium
Congo Republic,2020,Alert,Medium,Medium,High,Medium,High,Medium,High,High,High,High,Medium,Medium,Low,Low,Medium,Medium
Congo Republic,2021,Alert,Medium,Medium,High,High,High,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Medium,Medium
Costa Rica,2019,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Costa Rica,2020,Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Costa Rica,2021,Sustainable,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Cote d'Ivoire,2019,Alert,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,High,Low,Medium,Medium,Low
Cote d'Ivoire,2020,Warning,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,High,Low,Medium,Medium,Low
Cote d'Ivoire,2021,Alert,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,Medium,Low
Croatia,2019,Sustainable,Low,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Low,Medium,High,High,Medium
Croatia,2020,Sustainable,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Medium,Low,Medium,High,High,Medium
Croatia,2021,Sustainable,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Medium,Low,Medium,High,High,Medium
Cuba,2019,Stable,Low,Medium,Low,Low,Low,Medium,Medium,Low,Medium,Medium,Low,Low,Low,High,High,Medium
Cuba,2020,Stable,Low,Medium,Low,Low,Low,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,High,High,Medium
Cuba,2021,Stable,Low,Medium,Low,Low,Low,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,High,Medium,Medium
Cyprus,2019,Stable,Low,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Medium,High,Medium,High,High,Medium
Cyprus,2020,Stable,Low,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Medium,High,Medium,High,High,Medium
Cyprus,2021,Stable,Low,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,High,High,High,High,Medium
Czech Republic,2019,Sustainable,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Low
Czech Republic,2020,Sustainable,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Low
Czech Republic,2021,Sustainable,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Low
Denmark,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Denmark,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Denmark,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Djibouti,2019,Warning,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Low,Medium,Medium,Medium
Djibouti,2020,Warning,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium
Djibouti,2021,Warning,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,High,Low,Medium,Medium,Medium
Dominican Republic,2019,Stable,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,Medium,Low
Dominican Republic,2020,Stable,Medium,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,High,Medium,Low
Dominican Republic,2021,Stable,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Low,Low,High,Medium,Low
Ecuador,2019,Warning,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,High,Medium
Ecuador,2020,Stable,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Low,High,Medium,Medium
Ecuador,2021,Warning,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Low,High,Medium,Medium
Egypt,2019,Warning,High,High,High,Medium,Medium,Medium,High,Low,High,Medium,Medium,Medium,Low,Medium,Medium,Low
Egypt,2020,Warning,Medium,High,High,Medium,Medium,Medium,High,Low,High,Medium,Medium,Medium,Low,High,Medium,Low
Egypt,2021,Warning,Medium,High,High,Medium,Medium,Medium,High,Low,High,Medium,Medium,Medium,Low,High,Medium,Low
El Salvador,2019,Stable,Medium,Low,Medium,Medium,Medium,High,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Low
El Salvador,2020,Stable,Medium,Low,Medium,Medium,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low
El Salvador,2021,Warning,Medium,Low,Medium,Medium,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low
Equatorial Guinea,2019,Warning,Medium,High,Medium,Medium,High,Low,High,High,High,Medium,Low,Low,Low,Medium,Medium,Low
Equatorial Guinea,2020,Warning,Medium,High,Medium,Medium,High,Low,High,High,High,High,Low,Low,Low,Medium,Medium,Medium
Equatorial Guinea,2021,Warning,Medium,High,Medium,Medium,Medium,Low,High,High,High,High,Medium,Low,Low,Medium,Medium,Low
Eritrea,2019,Alert,Medium,High,Medium,Medium,High,High,High,Medium,High,High,Medium,Medium,Low,Low,Medium,Medium
Eritrea,2020,Alert,Medium,High,High,Medium,High,High,High,Medium,High,High,Medium,Medium,Low,Low,Medium,Medium
Eritrea,2021,Alert,Medium,High,High,Medium,High,High,High,High,High,High,Medium,Medium,Low,Low,Medium,Medium
Estonia,2019,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Estonia,2020,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Estonia,2021,Sustainable,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,Medium
Eswatini,2019,Warning,Medium,Medium,Low,High,High,Medium,High,Medium,High,High,Low,Medium,Low,Medium,Low,Medium
Eswatini,2020,Warning,Medium,Medium,Low,High,Medium,Medium,High,Medium,High,High,Low,Medium,Low,Medium,Low,Medium
Eswatini,2021,Warning,Medium,Medium,Low,High,High,Medium,High,Medium,High,High,Low,Medium,Low,Medium,Low,Medium
Ethiopia,2019,Alert,High,Medium,High,Medium,Medium,Medium,High,High,High,High,High,Medium,Low,Low,Medium,Low
Ethiopia,2020,Alert,Medium,High,High,Medium,Medium,Medium,High,High,Medium,High,High,Medium,Low,Low,Medium,Low
Ethiopia,2021,Alert,High,High,High,Medium,Medium,Medium,High,High,High,High,High,High,Low,Low,Medium,Medium
Fiji,2019,Warning,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,Medium,Low,Low,Medium,Low,Medium,Medium,Low
Fiji,2020,Stable,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Low,Medium,Low,High,Medium,Medium
Fiji,2021,Warning,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Low,Medium,Low,High,Medium,Medium
Finland,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Finland,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Finland,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
France,2019,Sustainable,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
France,2020,Sustainable,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
France,2021,Sustainable,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Medium
Gabon,2019,Warning,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium
Gabon,2020,Stable,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Medium
Gabon,2021,Stable,Low,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Medium
Gambia,2019,Warning,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Low,Low,Medium,Low
Gambia,2020,Warning,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Low,Medium,Medium,Low
Gambia,2021,Warning,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,Low
Georgia,2019,Warning,Medium,High,Medium,Medium,Low,Low,High,Low,Medium,Low,Medium,Medium,Low,High,Medium,Medium
Georgia,2020,Warning,Medium,High,Medium,Medium,Low,Medium,High,Low,Medium,Low,Medium,Medium,Low,High,Medium,Medium
Georgia,2021,Warning,Medium,High,Medium,Medium,Low,Medium,High,Low,Low,Low,Medium,Medium,Low,High,Medium,Medium
Germany,2019,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Germany,2020,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Germany,2021,Very Sustainable,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low
Ghana,2019,Stable,Low,Low,Low,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Low,Medium,Low
Ghana,2020,Stable,Low,Low,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Medium,Medium,Low
Ghana,2021,Stable,Low,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,High,Medium,Low
Greece,2019,Stable,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Medium,Medium,Medium,High,High,Medium
Greece,2020,Stable,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Medium,Medium,Medium,High,High,Medium
Greece,2021,Stable,Low,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Medium,Medium,Medium,High,High,High
Grenada,2019,Stable,Medium,Medium,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Medium,Medium,Medium,Medium
Grenada,2020,Stable,Medium,Medium,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Low,Medium,High,Medium
Grenada,2021,Stable,Low,Medium,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Medium,Low,High,Medium,Medium
Guatemala,2019,Warning,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Low
Guatemala,2020,Warning,Medium,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Low
Guatemala,2021,Warning,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,Medium,Low
Guinea,2019,Alert,High,High,High,High,Medium,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Low,Low
Guinea,2020,Alert,High,High,High,High,Medium,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Low,Low
Guinea,2021,Alert,High,High,High,High,Medium,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Low,Medium
