Country,Year,GDP_per_capita,Internet_users_percent,Life_expectancy,Military_expenditure_percent
Ireland,2019,81827.6688873996,87.0000552425146,82.7024390243903,0.273293508559262
Ireland,2020,86514.0706108754,91.99989097,82.4560975609756,0.262684777602834
Ireland,2021,103783.446284479,93.50610352,82.2536585365854,0.238637692712824
Israel,2019,44250.6313628073,86.7878776180583,82.8048780487805,5.07212719116893
Israel,2020,44575.5719045492,90.12734091,82.6487804878049,5.27626408809404
Israel,2021,52270.9040241956,90.29689758,82.5,4.9349458892043
Italy,2019,33812.788724868,67.8507102874836,83.4975609756098,1.30611671363832
Italy,2020,32091.4866621366,70.48342785,82.1951219512195,1.72984958969454
Italy,2021,36852.5425414951,74.8623274,82.6463414634146,1.66286387777873
Jamaica,2019,6030.68896415921,70.8410169743356,71.532,1.68152578167608
Jamaica,2020,5299.04530804283,76.38400269,71.452,1.70647069948671
Jamaica,2021,5625.67806271236,82.36071561,69.085,1.46676867767402
Japan,2019,40415.9567649547,92.7303978145525,84.3563414634146,0.992231472747577
Japan,2020,40028.7341726762,90.21945812,84.56,1.01676127140466
Japan,2021,40094.5599795288,82.91407928,84.4456097560976,1.06384050244526
Jordan,2019,4170.1144003465,70.08470154,76.865,4.56623750321627
Jordan,2020,4022.0401356135,78.4178009,75.583,4.70457117239125
Jordan,2021,4183.49998326866,85.999997,74.204,4.70182146525246
Kazakhstan,2019,9457.12614657136,81.8776204746284,73.658,1.02091636689134
Kazakhstan,2020,8781.50797787648,85.94259898,71.195,0.907188676192723
Kazakhstan,2021,9983.60103576902,90.9239507,70.131,0.819281683646492
Kenya,2019,1960.40808854893,22.6687733618171,62.939,1.1125711791299
Kenya,2020,1927.66459027849,24.7227993,61.596,1.10843419595019
Kenya,2021,2061.35622089594,26.96290016,61.225,1.07720025210221
North Korea,2019,6673.97429035651,69.244098665,72.928,1.56628172321816
North Korea,2020,6673.97429035651,69.244098665,72.783,1.56628172321816
North Korea,2021,6673.97429035651,69.244098665,73.437,1.56628172321816
South Korea,2019,33826.9443301597,96.157579184239,83.2268292682927,2.51931997944066
South Korea,2020,33645.7719545073,96.50506052,83.4268292682927,2.64297706902012
South Korea,2021,37518.4635305697,97.57132698,83.5268292682927,2.61904941244001
Kuwait,2019,31707.8737443551,99.5426764518489,81.969756097561,5.32311669292361
Kuwait,2020,25236.0755848941,99.10587017,78.7609756097561,6.47217283542021
Kuwait,2021,34018.6342592913,99.7,78.7365853658537,6.35158136559629
Kyrgyzstan,2019,1421.99927504102,64.1,71.6,2.71068623481534
Kyrgyzstan,2020,1229.51766602907,72.0,71.8,3.10718371407588
Kyrgyzstan,2021,1349.99730650542,77.11769867,71.9,2.840273087853
Laos,2019,2589.32081035237,47.03229904,67.911,1.56628172321816
Laos,2020,2583.77730696131,54.0,68.339,1.56628172321816
Laos,2021,2526.05105018529,62.0,67.807,1.56628172321816
Latvia,2019,17294.9751600969,86.13545644343,75.3878048780488,2.09016802211357
Latvia,2020,17564.2321549354,88.89796078,75.1853658536585,2.22759521686375
Latvia,2021,20261.8887788916,91.17964988,72.9804878048781,2.15577987505149
Lebanon,2019,8905.88005497437,81.48120117,78.208,4.73938277788589
Lebanon,2020,5561.19166950397,82.0664978,76.299,3.02665836499332
Lebanon,2021,4045.37391066234,82.65599823,73.65,1.60905429967969
Lesotho,2019,1082.05706777516,42.301733569273,55.249,1.87540421655185
Lesotho,2020,918.582574704447,43.65750122,55.133,1.88146803172144
Lesotho,2021,1066.58645143823,45.05670166,54.209,1.53556597959744
Liberia,2019,658.164180770507,19.89579964,61.232,0.418863636363636
Liberia,2020,616.787867006715,22.91069984,61.267,0.424794204807376
Liberia,2021,667.96610514319,26.38229942,61.166,0.847050441721288
Libya,2019,9963.19489084483,71.40409851,72.941,1.56628172321816
Libya,2020,6650.33810585348,74.35810089,72.388,1.56628172321816
